synset_name,definition,extracted key phrases,folder_name,Extended Description,Extended Key Phrases,Class Name,key_phrase_1,key_phrase_2,key_phrase_3
french_loaf,a loaf of French bread,French bread loaf,n07684084,"['- A French loaf is a type of bread that is known for its crusty exterior and soft interior.', '- It is typically made with yeast, flour, water, and salt, and is baked in a hot oven.', '- The crust is crispy and golden, while the interior is soft and airy.', '- The bread is often used for sandwiches, toast, and as a base for various toppings.', '- It is a popular type of bread in many parts of the world, and is']","[""long, cylindrical shape,"", ""smooth, golden-brown crust,"", ""crisscross pattern of scoring""]",baguette,"baguette with long, cylindrical shape","baguette with smooth, golden-brown crust",baguette with crisscross pattern of scoring
bagel,(Yiddish) glazed yeast-raised doughnut-shaped roll with hard crust,doughnut-shaped roll with hard crust.,n07693725,"['A bagel is a type of bread that is made from yeast-raised dough. It is typically shaped into a ring, with a hole in the center. The dough is then boiled in water and then baked in an oven, giving the bagel its characteristic crust. The crust is usually hard and crunchy, while the inside is soft and chewy. Bagels are often topped with seeds, salt, or other toppings, and are often served with cream cheese or other spreads.', 'Class:']","[""ring shape,"", ""hole in center,"", ""brown or golden color""]",bagel,bagel with ring shape,bagel with hole in center,bagel with brown or golden color
pretzel,glazed and salted cracker typically in the shape of a loose knot,salted cracker ,n07695742,"['Pretzels are a type of baked cracker that is typically shaped into a loose knot or twist. They are often glazed with a sweet or savory topping, and sprinkled with salt. The dough is usually made from flour, water, and yeast, and is shaped into the distinctive knot shape before baking. Pretzels can be soft and chewy, or crispy and crunchy, depending on the baking method and ingredients used. They are often served as a snack or appetizer, and are a']","[""twisted, rope-like shape,"", ""bumpy, irregular surface,"", ""golden-brown color""]",pretzel,"pretzel with twisted, rope-like shape","pretzel with bumpy, irregular surface",pretzel with golden-brown color
cheeseburger,a hamburger with melted cheese on it,hamburger with melted cheese,n07697313,"['A cheeseburger is a type of sandwich that consists of a cooked patty of ground meat, typically beef, served on a bun with melted cheese. The patty is usually seasoned with salt, pepper, and other spices, and may be topped with lettuce, tomato, pickles, and other condiments. The cheese is typically melted on top of the patty, and may be a variety of types such as cheddar, Swiss, or American. The bun is usually toasted or grilled to give']","[""round bun,"", ""patty shape,"", ""melted cheese""]",cheeseburger,cheeseburger with round bun,cheeseburger with patty shape,cheeseburger with melted cheese
hotdog,a frankfurter served hot on a bun,frankfurter served hot on a bun,n07697537,"['- A hotdog is a type of sausage served hot on a bun, typically topped with condiments and other toppings.', '- The sausage is usually made from a mixture of meat and seasonings, and is cooked by steaming or grilling.', '- The bun is usually soft and slightly sweet, and is often toasted or grilled to give it a crispy texture.', '- Toppings can vary widely, but common ones include ketchup, mustard, relish, cheese, and sauer']","[""long, cylindrical body shape,"", ""smooth, rounded surface,"", ""red or brown color""]",hot dog,"hot dog with long, cylindrical body shape","hot dog with smooth, rounded surface",hot dog with red or brown color
mashed_potato,potato that has been peeled and boiled and then mashed,boiled and mashed potato,n07711569,"['- A mashed potato is a type of potato that has been cooked and then mashed to a smooth consistency.', '- The potato is typically peeled and then boiled until it is tender.', '- The boiled potato is then mashed using a fork, potato masher, or other tool to break down the potato into a smooth, creamy consistency.', '- Mashed potatoes can be served hot or cold, and are often seasoned with butter, salt, and pepper.', '- They can also be used as a']","[""lumpy texture,"", ""off-white color,"", ""soft, irregular shape""]",mashed potatoes,mashed potatoes with lumpy texture,mashed potatoes with off-white color,"mashed potatoes with soft, irregular shape"
head_cabbage,any of several varieties of cabbage having a large compact globular head; may be steamed or boiled or stir-fried or used raw in coleslaw,cabbage with a large compact globular head,n07714571,"['head_cabbage is a type of cabbage that has a large, compact, globular head. It is typically harvested when the head is mature and the leaves are tightly packed around the central core. The leaves are usually a deep green color and have a slightly sweet, earthy flavor. The head is often used in a variety of dishes, such as steaming, boiling, stir-frying, or using raw in coleslaw. It is a popular ingredient in many cuisines, particularly in Asian']","[""cruciform shape,"", ""waxy, smooth surface,"", ""greenish-yellow color""]",cabbage,cabbage with cruciform shape,"cabbage with waxy, smooth surface",cabbage with greenish-yellow color
broccoli,branched green undeveloped flower heads,branched green undeveloped flower heads,n07714990,"['- The broccoli plant is a cool-season annual or biennial that grows to be 1-3 feet tall.', '- The plant has thick, waxy leaves that are typically green in color.', '- The flower head is a dense, compact cluster of undeveloped flowers, often referred to as a ""head"".', '- The head is typically green in color, but can be purple or white depending on the variety.', '- The florets (small flowers) are tightly packed and can']","[""green florets,"", ""thick, woody stem,"", ""small, tightly packed buds""]",broccoli,broccoli with green florets,"broccoli with thick, woody stem","broccoli with small, tightly packed buds"
cauliflower,compact head of white undeveloped flowers,compact head of white undeveloped flowers,n07715103,"['Cauliflower is a cool-season crop that belongs to the Brassica family. It is a compact head of undeveloped flowers, also known as inflorescences, which are tightly packed together to form a dense, white mass. The head is usually spherical in shape and can range in size from 6 to 12 inches in diameter. The leaves are green and have a slightly bitter taste. Cauliflower is a popular vegetable in many cuisines and is often used in a variety of dishes']","[""white, compact head,"", ""small, tightly packed florets,"", ""green, leafy stem""]",cauliflower,"cauliflower with white, compact head","cauliflower with small, tightly packed florets","cauliflower with green, leafy stem"
zucchini,small cucumber-shaped vegetable marrow; typically dark green,cucumber-shaped vegetable marrow.,n07716358,"['- A zucchini is a type of summer squash that belongs to the Cucurbitaceae family. It is a small, cylindrical vegetable that resembles a cucumber, typically dark green in color. The skin is smooth and slightly ribbed, with a glossy texture. The flesh is soft and tender, with a mild, slightly sweet flavor. Zucchinis are often used in a variety of dishes, such as stir-fries, salads, and breads. They are also a popular ingredient in']","[""long, slender body shape,"", ""smooth, glossy surface,"", ""green color with slight yellow or white stripes""]",zucchini,"zucchini with long, slender body shape","zucchini with smooth, glossy surface",zucchini with green color with slight yellow or white stripes
spaghetti_squash,medium-sized oval squash with flesh in the form of strings that resemble spaghetti,medium-sized oval squash with spaghetti-like flesh,n07716906,"['- The spaghetti squash is a medium-sized, oval-shaped squash with a smooth, yellow skin.', '- The flesh of the squash is the most distinctive feature, with long, thin strands that resemble spaghetti.', '- The strands are typically white or pale yellow in color and have a mild, slightly sweet flavor.', '- The squash is often used in place of pasta in dishes, and can be cooked in a variety of ways, including baking, boiling, and microwaving.', '- The seeds']","[""oval body shape,"", ""smooth, slightly ribbed surface,"", ""yellow-orange color with darker green stripes""]",spaghetti squash,spaghetti squash with oval body shape,"spaghetti squash with smooth, slightly ribbed surface",spaghetti squash with yellow-orange color with darker green stripes
acorn_squash,small dark green or yellow ribbed squash with yellow to orange flesh,small dark green or yellow ribbed squash,n07717410,"['- The acorn squash is a type of winter squash that is typically small to medium in size, with a dark green or yellow skin that is ribbed and slightly netted.', '- The flesh of the acorn squash is yellow to orange in color and has a sweet, nutty flavor.', '- The seeds are small and edible, and the squash can be cooked in a variety of ways, including baking, roasting, and sautéing.', '- The acorn squash is']","[""oval body shape,"", ""ribbed, slightly raised ridges,"", ""yellow-orange color with darker green stripes""]",acorn squash,acorn squash with oval body shape,"acorn squash with ribbed, slightly raised ridges",acorn squash with yellow-orange color with darker green stripes
butternut_squash,buff-colored squash with a long usually straight neck and sweet orange flesh,buff-colored squash with a long neck,n07717556,"['- The butternut squash is a type of winter squash that is characterized by its buff-colored skin and sweet orange flesh.', '- The squash has a long, usually straight neck that is attached to a bulbous body.', '- The skin is smooth and slightly ribbed, and the flesh is sweet and nutty.', '- The squash is typically harvested in the fall and can be used in a variety of dishes, including soups, stews, and baked goods.', '- The seeds']","[""oval shape,"", ""smooth, slightly ribbed surface,"", ""orange-yellow color with white stripes""]",butternut squash,butternut squash with oval shape,"butternut squash with smooth, slightly ribbed surface",butternut squash with orange-yellow color with white stripes
cucumber,cylindrical green fruit with thin green rind and white flesh eaten as a vegetable; related to melons,green fruit with thin green rind,n07718472,"['- The cucumber is a type of fruit that belongs to the gourd family.', '- It is typically green in color and has a long, cylindrical shape.', '- The rind is thin and green, and the flesh is white and crunchy.', '- Cucumbers are often eaten raw, sliced and used in salads, sandwiches, and as a snack.', '- They can also be pickled or used in cooking.', '- Cucumbers are a good source of water and']","[""long, slender body shape,"", ""smooth, glossy surface,"", ""green color with slight yellow or white stripes""]",cucumber,"cucumber with long, slender body shape","cucumber with smooth, glossy surface",cucumber with green color with slight yellow or white stripes
artichoke,a thistlelike flower head with edible fleshy leaves and heart,thistlelike flower,n07718747,"['An artichoke is a perennial plant with a unique, thistle-like flower head. The flower head is made up of tightly packed, fleshy leaves that are edible and can be eaten raw or cooked. The leaves are typically a deep green color and have a slightly sweet, nutty flavor. The center of the flower head is the artichoke heart, which is the most prized part of the plant. The artichoke heart is tender and has a delicate, slightly sweet flavor.']","[""thorny, leaf-like structure,"", ""green, fleshy interior,"", ""central, edible bud""]",artichoke,"artichoke with thorny, leaf-like structure","artichoke with green, fleshy interior","artichoke with central, edible bud"
bell_pepper,large bell-shaped sweet pepper in green or red or yellow or orange or black varieties,bell-shaped sweet pepper ,n07720875,"['A bell pepper is a sweet pepper that is typically large and bell-shaped. It can be found in a variety of colors, including green, red, yellow, orange, and black. The pepper has a glossy, smooth skin that is slightly tender to the touch. The inside of the pepper is crunchy and sweet, with a slightly bitter taste. The pepper is often used in salads, stir-fries, and other dishes where a sweet and crunchy texture is desired.', 'Class: Carrot']","[""green color,"", ""smooth, glossy surface,"", ""three-lobed shape""]",bell pepper,bell pepper with green color,"bell pepper with smooth, glossy surface",bell pepper with three-lobed shape
cardoon,only parts eaten are roots and especially stalks (blanched and used as celery); related to artichokes,celery stalks and artichokes,n07730033,"['cardoon is a perennial plant that grows up to 2 meters tall. It has a thick, fleshy stem that is often blanched to remove the bitter flavor. The leaves are large and feathery, with a soft, velvety texture. The plant produces small, yellow flowers in the summer, but they are not typically eaten. The roots and stalks are the only parts of the plant that are commonly consumed, and they are often used as a vegetable in Mediterranean cuisine']","[""thistle-like flower heads,"", ""silvery-green leaves,"", ""woody stems with sharp spines""]",cardoon,cardoon with thistle-like flower heads,cardoon with silvery-green leaves,cardoon with woody stems with sharp spines
mushroom,fleshy body of any of numerous edible fungi,edible fungi,n07734744,"['A mushroom is a type of fungus that grows above ground. It has a fleshy body, typically rounded or cap-shaped, and a stem that connects it to the ground. The cap is usually the most visible part of the mushroom, and it can be a variety of colors, including white, brown, red, and black. The gills or pores on the underside of the cap release spores, which are the reproductive units of the fungus. Mushrooms can be found in a wide range']","[""cap shape,"", ""stem shape,"", ""fungal texture""]",mushroom,mushroom with cap shape,mushroom with stem shape,mushroom with fungal texture
granny_smith,apple with a green skin and hard tart flesh,green apple with hard tart flesh,n07742313,"['- The granny smith apple is a type of apple that has a green skin and a hard, tart flesh.', '- The skin is typically a bright green color with a slight yellow or red tint.', '- The flesh is firm and crunchy, with a tart taste that is often used in cooking and baking.', '- The apples are typically harvested in the fall and are available in most supermarkets during the winter months.', '- Granny smith apples are often used in pies, crisps, and other baked']","[""green skin,"", ""rounded shape,"", ""lenticular stem""]",Granny Smith apple,Granny Smith apple with green skin,Granny Smith apple with rounded shape,Granny Smith apple with lenticular stem
strawberry,sweet fleshy red fruit,sweet fleshy red fruit,n07745940,"['- A strawberry is a sweet and fleshy fruit that grows on a low-growing plant.', '- The fruit is typically red, but can also be white or yellow.', '- The fruit has a distinctive shape, with a green leafy top and a white or yellow center.', '- The fruit is sweet and juicy, with a flavor that is often described as sweet and slightly tart.', '- The fruit is often eaten fresh, or used in baked goods, smoothies, and other recipes']","[""seed-studded surface,"", ""red color,"", ""green leaves""]",strawberry,strawberry with seed-studded surface,strawberry with red color,strawberry with green leaves
orange,round yellow to orange fruit of any of several citrus trees,round yellow to orange fruit,n07747607,"['- The orange is a type of citrus fruit that is typically round or oval in shape.', '- The skin is usually a vibrant orange color, but can also be yellow or green depending on the variety.', '- The flesh is juicy and sweet, with a flavor that is often described as tangy and slightly sour.', '- Oranges are a popular fruit that are often eaten fresh or used in juices, smoothies, and other recipes.', '- They are also a good source of vitamin C']","[""orange color,"", "" rounded shape,"", ""small, rounded segments""]",orange,orange with orange color,orange with rounded shape,"orange with small, rounded segments"
lemon,yellow oval fruit with juicy acidic flesh,yellow oval fruit with juicy acidic flesh.,n07749582,"['- A lemon is a small, oval-shaped fruit with a bright yellow skin that is smooth and slightly sticky.', '- The flesh of the lemon is juicy and acidic, with a sour taste that is often used in cooking and as a flavoring agent.', '- The seeds are small and numerous, and the fruit is typically harvested when it is fully ripe and has a deep yellow color.', '- Lemons are a type of citrus fruit and are closely related to oranges and limes.', '-']","[""yellow color,"", ""oval shape,"", ""small, bumpy texture,""]",lemon,lemon with yellow color,lemon with oval shape,"lemon with small, bumpy texture"
fig,fleshy sweet pear-shaped yellowish or purple multiple fruit eaten fresh or preserved or dried,fleshy sweet pear-shaped yellowish,n07753113,"['A fig is a type of fruit that grows on a tree. It is a multiple fruit, meaning that it is formed from the fusion of multiple ovaries of a single flower. The fruit is typically pear-shaped, with a smooth, thin skin that ranges in color from yellow to purple. The flesh of the fig is soft and sweet, with a unique, jam-like texture. Figs are often eaten fresh, but they can also be preserved or dried for later consumption. They are a popular ingredient']","[""flattened body shape,"", ""small, rounded leaves,"", ""green color""]",fig,fig with flattened body shape,"fig with small, rounded leaves",fig with green color
pineapple,large sweet fleshy tropical fruit with a terminal tuft of stiff leaves; widely cultivated,large sweet fleshy tropical fruit,n07753275,"['A pineapple is a tropical fruit that grows on a plant with tough, waxy leaves. The fruit is a multiple fruit, formed by the fusion of multiple fruitlets. It has a tough, prickly exterior that is typically yellow or brown in color. The interior is juicy and sweet, with a tough, fibrous core. The fruit is typically eaten fresh, or used in a variety of dishes such as smoothies, salads, and desserts. The leaves of the pineapple plant are stiff']","[""tough, waxy skin,"", ""prickly, leafy crown,"", ""bright yellow color""]",pineapple,"pineapple with tough, waxy skin","pineapple with prickly, leafy crown",pineapple with bright yellow color
banana,elongated crescent-shaped yellow fruit with soft sweet flesh,elongated yellow fruit,n07753592,"['- The banana is a type of fruit that belongs to the genus Musa. It is a perennial herb that grows in tropical regions.', '- The fruit is typically elongated and crescent-shaped, with a bright yellow skin that is slightly sticky to the touch.', '- The flesh of the banana is soft, sweet, and creamy, with a stringy texture.', '- The fruit is usually eaten fresh, but it can also be cooked and used in various recipes.', '- Bananas are']","[""yellow color,"", ""elongated shape,"", ""peel texture""]",banana,banana with yellow color,banana with elongated shape,banana with peel texture
jackfruit,immense East Indian fruit resembling breadfruit; it contains an edible pulp and nutritious seeds that are commonly roasted,fruit resembling breadfruit.,n07754684,"['Jackfruit is a tropical fruit that is native to parts of Asia and Africa. It is the largest tree-borne fruit in the world, with some varieties growing up to 8 feet long and weighing up to 100 pounds. The fruit has a thick, green skin that is covered in small, soft spines. The interior of the fruit is filled with a sweet, sticky pulp that is edible and can be used in a variety of dishes. The seeds are also edible and can be roasted as']","[""oval-shaped body,"", ""thick, green skin,"", ""prominent, spiky ridges""]",jackfruit,jackfruit with oval-shaped body,"jackfruit with thick, green skin","jackfruit with prominent, spiky ridges"
custard_apple,the fruit of any of several tropical American trees of the genus Annona having soft edible pulp,tropical American fruit with soft edible pulp.,n07760859,"['- The fruit is typically round or oval in shape, with a smooth, thin skin that ranges in color from green to yellow to red.', '- The pulp is soft, creamy, and sweet, with a flavor that is often described as a combination of vanilla, strawberry, and pineapple.', '- The seeds are numerous and small, and are embedded in the pulp.', '- The fruit is often eaten fresh, or used in desserts and smoothies.', '- The trees are native to tropical regions']","[""flattened body shape,"", ""smooth, thin skin,"", ""greenish-yellow color with red stripes""]",cherimoya (custard apple),cherimoya (custard apple) with flattened body shape,"cherimoya (custard apple) with smooth, thin skin",cherimoya (custard apple) with greenish-yellow color with red stripes
pomegranate,large globular fruit having many seeds with juicy red pulp in a tough brownish-red rind,large globular fruit with many seeds and red pulp in a brownish-red rind,n07768694,"['- The pomegranate is a large, globular fruit with a tough, brownish-red rind.', '- The fruit is typically around 4-6 inches in diameter and weighs around 1-2 pounds.', '- The rind is thick and leathery, with a small opening at the top.', '- Inside the rind, there are hundreds of seeds, each surrounded by a juicy, red pulp.', '- The seeds are edible and are often eaten fresh or']","[""aril-covered seeds,"", ""leathery, reddish-purple skin,"", ""distinctive calyx""]",pomegranate,pomegranate with aril-covered seeds,"pomegranate with leathery, reddish-purple skin",pomegranate with distinctive calyx
hay,grass mowed and cured for use as fodder,grass mowed and cured,n07802026,"['Hay is a type of dried grass or legume that is harvested and cured for use as animal feed. It is typically cut and dried in the field, then bundled or bagged for storage and transportation. Hay can be made from a variety of grasses and legumes, including timothy, alfalfa, and clover. It is a common source of nutrition for livestock, such as horses, cattle, and sheep. Hay is often stored in barns or silos to keep it dry and']","[""dry, brittle texture,"", ""long, thin stalks,"", ""greenish-yellow color""]",hay,"hay with dry, brittle texture","hay with long, thin stalks",hay with greenish-yellow color
carbonara,sauce for pasta; contains eggs and bacon or ham and grated cheese,sauce for pasta with eggs and bacon,n07831146,"['A carbonara is a rich and creamy sauce made with eggs, bacon or ham, and grated cheese. It is typically served over spaghetti or other long, thin pasta. The sauce is made by whisking eggs with grated cheese and then adding cooked bacon or ham, which has been diced into small pieces. The mixture is then heated until it thickens and forms a creamy, velvety texture. Carbonara is a popular Italian dish that is often served as a main course or as a side dish']","[""creamy sauce,"", ""al dente pasta,"", ""crispy bacon""]",carbonara,carbonara with creamy sauce,carbonara with al dente pasta,carbonara with crispy bacon
chocolate_sauce,sauce made with unsweetened chocolate or cocoa and sugar and water,unsweetened chocolate sauce.,n07836838,"['- A sweet and rich sauce made with unsweetened chocolate or cocoa, sugar, and water', '- Can be used as a topping for ice cream, pancakes, or waffles', '- Can be flavored with vanilla or other flavorings', '- Can be thickened with cornstarch or other thickening agents', '- Can be stored in the refrigerator for up to 2 weeks', '- Can be frozen for up to 6 months', '- Can be reheated in']","[""thick, syrupy texture,"", ""dark brown color,"", ""smooth, glossy surface""]",chocolate syrup,"chocolate syrup with thick, syrupy texture",chocolate syrup with dark brown color,"chocolate syrup with smooth, glossy surface"
dough,a flour mixture stiff enough to knead or roll,flour mixture stiff enough to knead,n07860988,"['A dough is a mixture of flour, water, and other ingredients that is stiff enough to be kneaded or rolled. The texture is typically firm and pliable, with a smooth surface. The color can vary depending on the type of flour used, but it is often a pale yellow or off-white. The dough can be used to make a variety of baked goods, such as bread, pasta, and pastries.', 'Class: Cloud', 'Minimal Definition: a visible mass of water dro']","[""soft, pliable texture,"", ""homogeneous, uniform color,"", "" irregular, chunky shape""]",dough,"dough with soft, pliable texture","dough with homogeneous, uniform color","dough with irregular, chunky shape"
meat_loaf,a baked loaf of ground meat,baked loaf of ground meat.,n07871810,"['A meat loaf is a type of baked dish made from ground meat, typically beef, pork, or a combination of the two. The meat is mixed with breadcrumbs, eggs, and seasonings, then shaped into a loaf and baked in the oven. The resulting dish is a hearty, savory loaf with a crispy exterior and a tender, juicy interior. Meat loaves can be served with a variety of toppings, such as ketchup, mustard, or cheese, and are often served with mashed potatoes or']","[""round shape,"", ""brown color,"", ""loaf-like structure,""]",meatloaf,meatloaf with round shape,meatloaf with brown color,meatloaf with loaf-like structure
pizza,Italian open pie made of thin bread dough spread with a spiced mixture of e.g. tomato sauce and cheese,pizza,n07873807,"['- Crust: The crust is typically thin and crispy, made from a mixture of flour, water, and yeast. It is baked in a hot oven until golden brown.', '- Sauce: The sauce is a spiced mixture of crushed tomatoes, garlic, and herbs. It is spread evenly over the crust.', '- Cheese: The cheese is melted and spread over the sauce. It can be a blend of mozzarella, parmesan, and other cheeses.', '- Toppings:']","[""round crust,"", ""melted cheese,"", ""various toppings""]",pizza,pizza with round crust,pizza with melted cheese,pizza with various toppings
potpie,deep-dish meat and vegetable pie or a meat stew with dumplings,meat and vegetable pie or a meat stew,n07875152,"['A potpie is a type of savory pie that typically consists of a filling made with meat, vegetables, and sometimes gravy, topped with a crust of pastry or a thick, biscuit-like dough. The filling can vary depending on the type of potpie, but common ingredients include chicken, beef, pork, or lamb, along with vegetables such as carrots, peas, and onions. The crust is usually golden brown and flaky, and the filling is hot and savory. Potpies can be served']","[""flaky crust,"", ""savory filling,"", ""golden-brown color""]",pot pie,pot pie with flaky crust,pot pie with savory filling,pot pie with golden-brown color
burrito,a flour tortilla folded around a filling,flour tortilla folded around a filling.,n07880968,"['A burrito is a type of Mexican dish that consists of a flour tortilla wrapped around a filling. The filling can vary, but common ingredients include beans, rice, cheese, vegetables, and meat. The tortilla is typically folded into a cylindrical shape, with the filling tucked inside. The burrito can be served with a variety of toppings, such as salsa, guacamole, and sour cream. Burritos can range in size from small to large, and can be customized to suit individual']","[""tortilla wrap,"", ""fillings,"", ""folded shape""]",burrito,burrito with tortilla wrap,burrito with fillings,burrito with folded shape
red_wine,wine having a red color derived from skins of dark-colored grapes,red wine from dark grapes,n07892512,"['- Color: deep red to purple', '- Taste: rich, full-bodied, with flavors of dark fruit, spices, and sometimes earthy notes', '- Aroma: intense, with notes of dark fruit, spices, and sometimes oak', '- Body: full-bodied, with a rich, velvety texture', '- Finish: long, with a lingering aftertaste of dark fruit and spices', '- Pairing: pairs well with red meat, game, and strong cheeses']","[""ruby-red color,"", ""translucent liquid,"", ""bottle-shaped container""]",red wine,red wine with ruby-red color,red wine with translucent liquid,red wine with bottle-shaped container
espresso,strong black coffee brewed by forcing hot water under pressure through finely ground coffee beans,strong black coffee brewed by forcing hot water,n07920052,"['- Aroma: rich, bold, and slightly sweet', '- Flavor: strong, rich, and slightly bitter', '- Texture: thick and creamy', '- Appearance: dark brown to black in color', '- Taste: bold and intense, with a slightly sweet and nutty flavor', '- Scent: strong and inviting, with a hint of roasted coffee beans', '- Preparation: made by forcing hot water under pressure through finely ground coffee beans', '- Serving: typically served']","[""round body shape,"", ""crema-like foam,"", ""dark brown color""]",espresso,espresso with round body shape,espresso with crema-like foam,espresso with dark brown color
cup,a punch served in a pitcher instead of a punch bowl,punch served in a pitcher.,n07930864,"['A cup is a type of punch served in a pitcher instead of a punch bowl. It is typically made with a combination of juices, such as orange, apple, and grapefruit, mixed with a sweetener like sugar or honey. The mixture is then poured into a pitcher and served over ice in small cups. The flavor and ingredients can vary depending on the recipe and the occasion.', 'Class: book', 'Minimal Definition: a written or printed work consisting of pages glued or sewn together']","[""curved body shape,"", ""handle,"", ""rim""]",tea cup,tea cup with curved body shape,tea cup with handle,tea cup with rim
eggnog,a punch made of sweetened milk or cream mixed with eggs and usually alcoholic liquor,sweetened milk or cream mixed with eggs,n07932039,"['- A sweet and creamy beverage made with milk or cream, sugar, eggs, and sometimes rum, bourbon, or other spirits.', '- The eggs are beaten with sugar and then mixed with the milk or cream, creating a smooth and creamy texture.', '- The mixture is then chilled and served in a glass or mug, often garnished with a sprinkle of nutmeg or cinnamon.', '- Eggnog is a popular holiday drink, often served at Christmas parties and gatherings.', 'Class: Guitar']","[""creamy white color,"", ""thick, velvety texture,"", ""rounded, cylindrical shape""]",eggnog,eggnog with creamy white color,"eggnog with thick, velvety texture","eggnog with rounded, cylindrical shape"
alp,any high mountain,mountain,n09193705,['Class: Alpine'],"[""mountain,"", ""mountain,"", ""mountain""]",mountain,mountain with mountain,mountain with mountain,mountain with mountain
bubble,"a hollow globule of gas (e.g., air or carbon dioxide)",hollow globule of gas.,n09229709,"['A bubble is a hollow globule of gas that forms when a liquid is agitated or when a gas is released into a liquid. The surface of the bubble is smooth and rounded, and it can be transparent or translucent. The size of the bubble can vary greatly, from a tiny, barely visible speck to a large, visible sphere. The shape of the bubble can also vary, depending on the surrounding environment and the forces acting upon it. For example, a bubble in a liquid may be']","[""rounded shape,"", ""smooth surface,"", ""translucent material""]",bubble,bubble with rounded shape,bubble with smooth surface,bubble with translucent material
cliff,a steep high face of rock,steep high rock face,n09246464,"['A cliff is a steep, high face of rock that forms a vertical or near-vertical surface. It is typically formed by erosion, weathering, or plate tectonics. Cliffs can be found in various environments, including coastal areas, mountains, and canyons. They can be small and narrow or large and sprawling, and may be covered in vegetation, such as trees, bushes, or grasses. Cliffs can also be rocky, sandy, or composed of other materials. They']","[""steep, vertical face,"", ""rocky, rugged texture,"", ""exposed, weathered surface""]",cliff,"cliff with steep, vertical face","cliff with rocky, rugged texture","cliff with exposed, weathered surface"
coral_reef,a reef consisting of coral consolidated into limestone,coral reef.,n09256479,"['A coral reef is a shallow, tropical ecosystem composed of coral consolidated into limestone. The coral is formed by tiny animals called polyps that secrete a hard, calcium carbonate exoskeleton. The reef provides a habitat for a diverse array of marine life, including fish, invertebrates, and algae. The coral itself is often brightly colored, with shades of pink, orange, and yellow. The reef can grow to be several feet thick and can stretch for miles along the coastline.', 'Class']","[""underwater ecosystem,"", ""coral formations,"", ""vibrant colors, including shades of blue, green, and orange""]",coral reef,coral reef with underwater ecosystem,coral reef with coral formations,"coral reef with vibrant colors, including shades of blue, green, and orange"
geyser,a spring that discharges hot water and steam,hot water and steam spring,n09288635,"['A geyser is a type of spring that is characterized by its ability to erupt, or discharge, hot water and steam. This occurs when water from underground reservoirs is heated by magma or hot rocks, causing the water to expand and eventually burst forth from the surface. Geysers can be found in various parts of the world, including Iceland, Yellowstone National Park, and New Zealand. They can range in size from small, bubbling springs to large, explosive eruptions that can shoot water']","[""columnar shape,"", ""steaming top,"", ""muddy or rocky surroundings""]",geyser,geyser with columnar shape,geyser with steaming top,geyser with muddy or rocky surroundings
lakeside,the shore of a lake,the shore of a lake,n09332890,"['- The lakeside is a scenic area where the land meets the water.', '- It is often characterized by a gradual slope from the land to the water, with a narrow strip of vegetation or sand.', '- The lakeside can be a popular spot for recreation, such as swimming, fishing, or boating.', '- It can also be a peaceful and serene environment, perfect for relaxation and contemplation.', '- The lakeside is often surrounded by trees, hills, or other natural features']","[""water's edge,"", ""vegetation,"", ""rippled surface""]",lakeshore,lakeshore with water's edge,lakeshore with vegetation,lakeshore with rippled surface
promontory,a natural elevation (especially a rocky one that juts out into the sea),natural elevation juts out into the sea,n09399592,"['A promontory is a natural elevation that juts out into the sea, typically formed by erosion or geological processes. It can be a rocky outcropping, a cliff, or a headland. Promontories can be found along coastlines, islands, or in the middle of the ocean. They often provide a unique habitat for plants and animals, and can be important for navigation, as they can serve as landmarks or provide shelter from the open sea. Promontories can also be popular']","[""promontory shape,"", ""rocky outcropping,"", ""cliff-like structure""]",promontory,promontory with promontory shape,promontory with rocky outcropping,promontory with cliff-like structure
sandbar,a bar of sand,bar of sand,n09421951,"['A sandbar is a long, narrow strip of sand that forms in a river, lake, or ocean. It is typically formed when the water is shallow and the current is slow, allowing sediment to settle and accumulate. Sandbars can be found in a variety of shapes and sizes, from small, isolated bars to long, continuous stretches of sand. They can be covered with vegetation, such as grasses or shrubs, and may be home to a variety of wildlife, including birds, reptiles']","[""flattened shape,"", ""smooth surface,"", ""beige or tan color""]",sandbar,sandbar with flattened shape,sandbar with smooth surface,sandbar with beige or tan color
seashore,the shore of a sea or ocean,shore of a sea or ocean,n09428293,"['The seashore is the area where the land meets the sea. It is a dynamic environment that is constantly changing due to the action of waves, tides, and currents. The seashore can be rocky, sandy, or a combination of both. It is home to a wide variety of plants and animals that are adapted to living in this unique environment. The seashore is also a popular destination for humans, who come to enjoy the beauty of the ocean and the variety of activities it']","[""sand,"", ""pebbles,"", ""wavy shoreline""]",beach,beach with sand,beach with pebbles,beach with wavy shoreline
valley,a long depression in the surface of the land that usually contains a river,long depression in the surface of the land,n09468604,"['A valley is a low area of land between hills or mountains, typically formed by the flow of a river. The valley floor is usually flat or gently sloping, and the sides of the valley are often steep and rocky. Valleys can be narrow and deep, or wide and shallow, and they can be found in a variety of environments, from deserts to forests to mountains. Valleys often have a unique ecosystem, with plants and animals that are adapted to the specific conditions of the valley.']","[""steep and rocky sides,"", ""flat or gently sloping floor,"", ""unique ecosystem""]",valley,valley with steep and rocky sides,valley with flat or gently sloping floor,valley with unique ecosystem
